Hour , Total Damage
Focal Depth , Total Damage
69,3
27,30
47,1
5,5
5,1000
33,400
40,80
10,2
36,0.01
18,3
36,1
59,28
23,35
38,4
36,3
23,1
17,14
38,3
47,1
80,300
10,140
15,1
5,2
33,320
15,0.6
33,1
30,1
7,131
36,8
23,2
13,35
38,200
13,2
22,2
35,0.32
33,1
33,24
10,8.35
11,2
23,1
20,55.6
18,1
43,50000
34,1
16,3
8,0.4
8,1.75
25,6
33,41
8,505
35,6
58,236.4
5,2968
43,390
33,64
33,100
48,5.75
48,5
98,3
13,4
22,4
4,1
15,3
2,4
5,4
9,4
40,195
23,5600
33,134
89,2000
37,0.1
41,3
33,1.2
13,80
14,3
44,865
3,250
33,50
49,30
10,2700
25,4.15
28,2
62,16
108,20
33,4
33,3
10,3
11,11.5
4,2000
9,5
7,2
14,5
62,3
8,1
18,245
55,2
73,2
10,5200
71,1
41,3
33,5
33,5
10,0.5
33,812
33,5
24,5
33,4
16,5
33,5
54,5
6,1
40,1
9,3.3
82,5
21,12
5,2000
36,1
33,1.45
24,0.5
33,61
22,4
33,5
37,2
79,1
104,0.5
10,1
24,800
33,5
37,1
41,1
29,2.227
15,1
14,2
19,2200
10,50
37,2
12,6.5
11,8
215,3
33,0.5
33,1
208,5
15,5
8,8
12,25
10,5
33,1
10,43
10,38
60,1
23,2
5,238
37,2
40,2575
33,1
38,2
5,1
33,1
46,1
99,1
7,5
28,4000
16,80
22,1
33,2
51,22
33,60
10,2
19,1
102,0.5
12,4.5
9,1
132,3
11,300
7,1500
5,1
34,1
30,1
21,5
33,2
19,25
54,1
11,22
41,1
70,3
37,1
10,12
10,358
8,2
5,3
33,3
17,1
51,1
69,2
18,269
10,71
19,1
30,100
13,164
33,91
12,1
19,5600
33,5
18,1
24,3
10,1000
5,30
10,40
22,1
8,58.35
24,1
89,700
18,1
14,103
25,3000
33,1
5,1
114,250
11,2
48,32
11,500
12,1
13,2
17,3
10,3
21,1
20,252
10,36
9,200
10,1
11,104
29,3
11,30
5,30
26,3
5,200
16,2
58,1
27,750
21,1
12,1
15,2
50,31
16,100
23,1
1,3
5,2
27,130
40,30
22,1200
14,1
10,115
28,2103
20,1
17,1207
59,1
7,4
25,5
18,40000
14,2
23,2000
6,1.4
19,3
18,2.2
631,3
9,2
32,3.7
27,170.4
33,3
22,36896
14,25
11,750
14,2
13,3
33,3
33,4
33,200
10,80
24,2
11,506
33,3
10,2
26,330
10,1948
33,3
22,6
33,1
5,25
10,4
36,143
20,81
10,2
33,3
58,300
54,3
30,4
33,27
236,1
9,50
10,1
33,1
24,3
33,4
33,4
10,100
33,1
10,17
33,1543
33,107
10,22.6
17,700
10,1
33,500
15,394
87,1
33,18
10,3
13,50000
10,4200
33,8700
61,164.8
33,0.786
62,30
10,44
22,171
10,4948
19,1
33,1
56,220
10,60.929
33,73.5
33,1
5,1
33,4
10,80
10,1
33,6
10,8
33,43
10,50
34,1
10,3
60,753
16,166836
10,348.5
33,3
52,400
33,36
33,3
33,1
21,2
31,1.714
8,3
62,1
40,55
10,300
10,11
5,500
13,70
9,1
10,632
10,3
5,1
33,40
10,1
33,2
10,2
10,2
31,7
8,200
33,1
10,75
10,3
10,1
24,3
10,1
27,90
10,1
10,30
33,1
10,1
8,40
10,4
45,1
10,3
27,1
11,40
0,926
19,2
187,1
17,400
8,1
5,1
7,1
10,40
10,1
16,28000
15,10
14,1
36,2
10,55
39,24
35,2
10,3
30,10000
5,2
11,1
10,45
10,3
10,4
10,2
225,1
44,4
7,4
22,55
13,4
34,55
39,73
30,2
5,310
10,12500
19,3
39,1090
10,1
29,10
40,2
7,1
25,4
12,1
16,2
19,86000
16,3
33,1
19,4
9,2500
10,2
18,285
81,2200
10,10
18,2.43
47,1.5
29,21.8
13,8000
25,1
23,12000
21,1000
12,2
4,1150
17,500
35,1
12,6500
33,1
20,39
6,4
30,220085.456
8,3.6
6,3000
20,2
10,1
50,22.3
16,4
28,10.5
11,15
20,1
41,1
10,8
43,1
10,350
18,68
11,3000
10,1
28,1
10,1000
24,3
19,2
12,850
0,100
15,90
10,1
8,4
67,1
15,3
12,178
13,3
10,1
10,1.36
10,3
10,4
11,3
10,1
16,14.65
15,10000
22,600
11,4
10,4
19,4
10,1
Magnitude , Total Damage
