Focal Depth , Total Deaths
74,2
74,2
33,30
37,3
25,1
104,1
40,4
33,3
69,3
27,12225
5,300
33,4
5,1070
19,1
90,8
33,107
33,139
33,1
40,26
10,4
6,71
34,32
59,7
23,125
18,2
28,1
48,7
23,80
64,12
38,4
20,1
80,5000
33,71
13,10
10,300
15,2
65,2
33,1
33,216
33,8
15,20
34,2
7,52
36,270
13,10488
15,700
38,2000
10,4
35,40
5,3000
33,12
10,1
31,10000
23,2
3,26
20,1086
40,15
18,3
27,1
16,4
651,1
33,3
8,18
25,82
34,2
33,24
8,65
35,1377
58,83
47,3
7,2
33,1
11,4
33,4
47,3
36,3
33,1
5,10000
48,27
29,2
2,27
22,3
33,47
27,1
30,1
26,2311
50,1
2,2
19,1
5,4
33,6000
40,573
23,242769
33,8000
16,5
10,11
33,133
33,4
89,1641
37,1
29,167
41,2
33,34
33,18
37,3
33,189
13,70
31,584
14,3
44,28
3,50
10,17
33,20000
18,9
33,76
33,2
33,200
53,18
49,5
10,131
25,22
11,41
5,115
16,5
38,2
58,4
62,30
40,1
33,350
108,72
10,17
33,8
4,57
5,1
14,1
18,200
22,2
25,15
10,5000
71,7
33,305
33,150
10,12
33,22
29,1
31,2
38,8
33,3000
24,10
33,220
54,15
33,6
9,1879
10,10
82,43
12,3
5,2800
36,500
33,13
24,12
24,104
33,2
25,1
29,16
15,5
33,2
10,2
11,443
33,2
208,4
12,3
10,3
14,3
30,1
24,5
46,20
10,29
33,2
5,12000
5,23
7,71
10,10
28,9500
10,6
33,3
10,1
39,2
16,3
51,16
10,4
19,1
19,2
10,3
132,4
7,1100
21,3
10,3
32,1
10,8
5,2
33,2
18,738
13,11
15,1
19,62
10,29
33,4
10,12
22,2
39,1
18,2
26,3
8,126
10,2
24,200
26,1
217,43
17,3
5,4
5,2
5,10
12,4
11,19
13,2
20,1
142,3
5,9
21,1
20,8063
33,2
33,1
33,1
31,4
26,2
88,3
10,4
21,28
10,11
9,5000
58,3
18,6
27,653
50,4
23,3
27,75
9,4
40,170
18,1
11,8
22,545
10,5
12,2
17,231
13,2
34,1
7,4
25,60
18,60
20,9
6,6
13,2
59,4
18,238
11,2
9,3
9,171
14,11
17,1
32,81
27,3
17,20
74,4
10,2
13,4
13,4500
24,2
10,81
10,12
11,322
28,4
33,12
10,11000
33,3
10,1100
15,4
10,4
36,56
10,4
20,81
5,15
33,3
58,15700
54,1
33,2323
33,3
25,2205
33,3
33,3
152,1
39,2
33,5
33,12000
10,3
33,7000
33,1
15,21100
87,2
33,26
33,50
10,2
13,73342
10,1
10,143
13,7
33,82000
61,35
33,1
62,1100
33,1
33,10
19,3
56,2800
10,24
33,7
33,2
26,4
10,3
33,1
33,2
10,1
10,1
10,1
33,7
10,1390
33,1
34,3
10,4
50,31
30,11
10,6
60,844
16,339000
10,315
33,4
10,1
33,2
62,4
33,4
62,300
33,4
10,1
21,2
33,3
11,1
15,1001
109,2
5,44
33,1
226,300
31,15
8,4
33,5
10,50
62,3
10,1
33,2
10,5
10,2
22,1
10,261
10,48
5,2
10,900
11,2
10,4
33,11
30,3
33,100
10,2
22,2
33,3
24,4
10,2
11,261
10,5
33,4
10,2
10,177
10,1
12,4
31,20
18,1
33,2
10,1
10,16
10,4
10,2
10,2
10,10
16,3
10,1
33,3
33,3
35,1
10,11
33,1
33,2
10,4
17,37
27,2
11,1420
56,5
10,3
45,2
10,1
14,46
5,18
8,1
5,1
10,2
5,1
6,4
22,1
16,40
10,34
36,1
10,32
30,227899
11,1
41,2
15,1
14,612
30,1313
116,11
16,1
48,1
115,3
26,3
10,1
10,1
22,6
225,100
44,1
30,2
11,4
10,1
30,4
10,4
18,1
7,3
13,4
5,2
34,802
56,22
34,3
22,1
52,1
43,1
10,2
22,4
19,67
43,1
8,1
24,54
37,10
5,3
10,9
5,2
2,9
0,3
31,1
34,25
10,1
10,1
72,1
7,1
35,3
10,1
156,1
10,1
20,1
12,1
10,1
34,2
20,1
10,38
10,1
10,1
26,3
19,87652
9,2
10,8
4,1
8,13
33,1
123,1
108,1
10,1
6,4
1,5
17,43
25,2
12,7
10,1
27,74
12,9
16,13
15,166
30,6
25,2
17,5
14,23
9,306
15,1
6,19
10,7
15,1
10,2
40,1
46,81
14,11
18,192
81,1117
10,3
18,5
26,1
18,2
2,2
8,1
6,3
65,1
13,316000
27,7
10,1
23,500000
10,2
12,3
4,2
17,2220
13,11
2,2
18,17
20,1
10,1
7,3
35,4
27,1
33,1
20,431
1,2
12,7
68,200
85,1
26,25
30,18453
8,75
42,3
11,7
1,10
7,2
6,1
91,10
50,111
9,1
16,4
24,1
10,2
5,2
5,40
32,3
54,2
11,51
41,2
20,10
29,2
43,2
10,1
6,7
16,75
10,4
10,1
22,1
10,4
35,2
10,81
14,1
24,4
14,26
14,8
12,1
24,10
145,2
19,3
12,700
80,40
0,14
14,196
64,18
15,95532
15,1
10,3
17,4
13,42
8,4
10,5
15,4
15,22
20,3
48,1
16,8
10,1
20,4
13,4
7,1
15,2
10,1
60,5
95,1
10,6
10,1
5,2
11,3
43,8
11,1
40,1
15,1
10,2
11,1
7,4
10,2
29,1
15,8200
15,117
10,23
20,3
19,3
10,3
22,15
14,1
213,300
14,1
26,2
203,2
55,13
23,116
212,6
19,4
31,1
10,4
10,297
84,3
40,19
10,1
10,4
