Hour , Total Damage
20,3
19,30
8,1
17,5
4,1000
3,400
4,80
21,2
5,0.01
17,3
23,1
15,28
10,35
2,4
1,3
10,1
14,14
21,3
8,1
22,300
23,140
22,1
10,2
2,320
22,0.6
19,1
0,1
0,131
20,8
22,2
10,35
8,200
0,2
2,2
9,0.32
7,1
20,24
4,8.35
22,2
1,1
21,55.6
9,1
20,50000
22,1
0,3
12,0.4
17,1.75
4,6
18,41
14,505
14,6
3,236.4
6,2968
21,390
8,64
8,100
20,5.75
3,5
8,3
14,4
12,4
15,1
20,3
14,4
9,4
20,4
7,195
19,5600
16,134
19,2000
21,0.1
13,3
6,1.2
9,80
3,3
8,865
20,250
15,50
11,30
6,2700
9,4.15
20,2
15,16
23,20
7,4
19,3
16,3
19,11.5
15,2000
20,5
16,2
2,5
5,3
18,1
14,245
15,2
17,2
12,5200
6,1
12,3
15,5
21,5
17,0.5
20,812
7,5
17,5
17,4
2,5
7,5
4,5
5,1
16,1
4,3.3
6,5
23,12
9,2000
0,1
12,1.45
18,0.5
11,61
13,4
0,5
2,2
2,1
12,0.5
23,1
2,800
17,5
15,1
2,1
12,2.227
18,1
14,2
21,2200
0,50
16,2
16,6.5
4,8
23,3
15,0.5
14,1
17,5
20,5
21,8
5,25
17,5
6,1
23,43
13,38
9,1
23,2
3,238
20,2
22,2575
19,1
1,2
5,1
1,1
4,1
7,1
12,5
13,4000
15,80
2,1
11,2
20,22
7,60
3,2
13,1
3,0.5
9,4.5
14,1
21,3
17,300
17,1500
9,1
21,1
13,1
14,5
5,2
1,25
3,1
19,22
6,1
15,3
15,1
13,12
14,358
10,2
1,3
1,3
20,1
23,1
14,2
13,269
1,71
6,1
21,100
20,164
0,91
11,1
0,5600
3,5
4,1
18,3
23,1000
23,30
19,40
13,1
9,58.35
2,1
10,700
7,1
0,103
7,3000
9,1
2,1
4,250
18,2
2,32
0,500
3,1
6,2
17,3
18,3
15,1
4,252
3,36
0,200
11,1
14,104
11,3
10,30
19,30
9,3
9,200
17,2
1,1
17,750
1,1
4,1
18,2
8,31
12,100
16,1
11,3
15,2
2,130
0,30
13,1200
8,1
15,115
5,2103
20,1
13,1207
8,1
22,4
2,5
12,40000
23,2
17,2000
8,1.4
12,3
18,2.2
0,3
9,2
19,3.7
12,170.4
2,3
20,36896
8,25
13,750
0,2
21,3
15,3
18,4
15,200
22,80
8,2
11,506
5,3
12,2
3,330
10,1948
21,3
6,6
23,1
9,25
7,4
22,143
19,81
9,2
1,3
1,300
11,3
3,4
8,27
12,1
19,50
7,1
15,1
4,3
6,4
13,4
5,100
18,1
22,17
11,1543
14,107
7,22.6
18,700
13,1
14,500
19,394
6,1
9,18
10,3
0,50000
11,4200
17,8700
16,164.8
9,4
2,0.786
13,30
13,44
14,171
16,4948
17,1
18,1
14,220
17,60.929
23,73.5
22,1
23,1
16,4
2,80
15,1
3,6
21,8
13,43
8,50
2,1
4,3
17,753
3,166836
14,348.5
0,3
18,400
21,36
20,3
9,1
17,2
21,1.714
14,3
16,1
5,55
2,300
0,11
1,500
18,70
23,1
10,632
10,3
22,1
21,40
4,1
17,2
5,2
0,2
19,7
17,200
13,1
15,75
15,3
5,1
10,3
4,1
19,90
12,1
2,30
18,1
4,1
19,40
1,4
20,1
18,3
8,1
10,40
2,926
1,2
21,1
12,400
13,1
4,1
15,1
14,40
13,1
8,28000
9,10
11,1
4,2
2,55
18,24
8,2
5,3
0,10000
10,2
7,1
9,45
1,3
0,4
10,2
21,1
7,4
1,4
23,55
22,4
8,55
17,73
21,2
21,310
1,12500
23,3
23,1090
4,1
7,10
15,2
5,1
18,4
3,1
0,2
6,86000
12,3
0,1
1,4
1,2500
11,2
17,285
10,2200
1,10
19,2.43
2,1.5
0,21.8
21,8000
20,1
6,12000
0,1000
2,2
22,1150
23,500
0,1
16,6500
21,1
14,39
23,4
5,220085.456
13,3.6
2,3000
19,2
10,1
12,22.3
10,4
0,10.5
3,15
18,1
22,1
10,8
12,1
7,350
21,68
12,3000
9,1
12,1
3,1000
16,3
2,2
11,850
0,100
6,90
14,1
23,4
0,1
11,3
13,178
23,3
5,1
16,1.36
9,3
8,4
10,3
13,1
6,14.65
6,10000
22,600
7,4
16,4
23,4
19,1
18,3
20,30
50,1
14,5
17,1000
36,400
1,80
38,2
1,0.01
57,3
41,1
28,28
1,35
1,4
42,3
41,1
13,14
41,3
18,1
14,300
59,140
7,1
3,2
1,320
45,0.6
2,1
42,1
48,131
19,8
14,2
47,35
19,200
36,2
40,2
15,0.32
15,1
3,24
56,8.35
5,2
51,1
2,55.6
1,1
23,50000
41,1
52,3
2,0.4
53,1.75
34,6
9,41
0,505
44,6
3,236.4
29,2968
1,390
30,64
34,100
26,5.75
55,5
33,3
21,4
11,4
26,1
20,3
47,4
1,4
0,4
13,195
42,5600
11,134
21,2000
43,0.1
36,3
8,1.2
26,80
24,3
14,865
3,250
35,50
7,30
19,2700
38,4.15
38,2
53,16
40,20
59,4
58,3
42,3
0,11.5
32,2000
2,5
33,2
11,5
17,3
52,1
58,245
7,2
54,2
25,5200
58,1
51,3
11,5
13,5
27,0.5
53,812
24,5
53,5
22,4
58,5
15,5
31,5
48,1
17,1
16,3.3
21,5
41,12
12,2000
40,1
28,1.45
22,0.5
57,61
12,4
32,5
50,2
51,1
7,0.5
42,1
59,800
14,5
10,1
41,1
17,2.227
52,1
6,2
9,2200
49,50
29,2
13,6.5
11,8
52,3
24,0.5
22,1
18,5
28,5
15,8
3,25
49,5
41,1
48,43
26,38
46,1
33,2
6,238
52,2
47,2575
49,1
56,2
52,1
7,1
36,1
54,1
41,5
17,4000
59,80
44,1
56,2
14,22
35,60
35,2
48,1
11,0.5
20,4.5
42,1
28,3
24,300
49,1500
0,1
20,1
59,1
17,5
47,2
42,25
36,1
22,22
27,1
48,3
23,1
43,12
42,358
59,2
54,3
43,3
19,1
15,1
47,2
3,269
17,71
55,1
49,100
34,164
38,91
16,1
4,5600
21,5
19,1
43,3
26,1000
43,30
46,40
22,1
37,58.35
34,1
40,700
40,1
16,103
26,3000
15,1
59,1
53,250
45,2
34,32
24,500
1,1
57,2
27,3
2,3
23,1
19,252
42,36
59,200
15,1
43,104
43,3
42,30
44,30
45,3
48,200
19,2
58,1
18,750
20,1
50,1
6,2
8,31
20,100
55,1
57,3
5,2
4,130
16,30
9,1200
32,1
11,115
29,2103
40,1
17,1207
34,1
25,4
6,5
30,40000
34,2
7,2000
2,1.4
0,3
17,2.2
33,3
9,2
15,3.7
19,170.4
57,3
46,36896
47,25
3,750
15,2
46,3
57,3
9,4
35,200
46,80
5,2
14,506
59,3
51,2
32,330
37,1948
8,3
4,6
46,1
31,25
57,4
51,143
24,81
40,2
38,3
3,300
23,3
50,4
20,27
18,1
40,50
26,1
0,1
48,3
22,4
55,4
19,100
59,1
14,17
38,1543
10,107
37,22.6
19,700
45,1
8,500
5,394
17,1
12,18
42,3
1,50000
56,4200
47,8700
31,164.8
46,4
18,0.786
27,30
25,44
41,171
57,4948
6,1
3,1
14,220
36,60.929
37,73.5
58,1
10,1
28,4
41,80
40,1
21,6
13,8
25,43
36,50
25,1
30,3
33,753
16,166836
22,348.5
9,3
54,400
10,36
33,3
38,1
22,2
16,1.714
56,3
8,1
40,55
58,300
16,11
21,500
44,70
53,1
50,632
32,3
12,1
32,40
58,1
45,2
26,2
40,2
23,7
11,200
30,1
16,75
13,3
14,1
58,3
45,1
50,90
41,1
35,30
49,1
38,1
15,40
56,4
59,1
38,3
15,1
30,40
27,926
53,2
24,1
38,400
4,1
22,1
48,1
57,40
32,1
56,28000
6,10
41,1
1,2
25,55
32,24
49,2
56,3
58,10000
15,2
36,1
43,45
53,3
49,4
22,2
47,1
9,4
17,4
25,55
53,4
19,55
7,73
39,2
34,310
13,12500
2,3
40,1090
24,1
10,10
40,2
20,1
22,4
12,1
15,2
28,86000
25,3
17,1
22,4
32,2500
53,2
48,285
16,2200
52,10
41,2.43
15,1.5
27,21.8
53,8000
31,1
34,12000
18,1000
32,2
40,1150
49,500
53,1
35,6500
44,1
42,39
51,4
46,220085.456
55,3.6
20,3000
35,2
6,1
40,22.3
41,4
21,10.5
49,15
2,1
37,1
9,8
41,1
0,350
7,68
23,3000
41,1
47,1
19,1000
35,3
3,2
52,850
50,100
57,90
10,1
45,4
13,1
29,3
55,178
27,3
7,1
46,1.36
25,3
30,4
20,3
8,1
42,14.65
11,10000
54,600
10,4
25,4
58,4
18,1
