Hour , Focal Depth ,Total Damage
20,69,3
19,27,30
8,47,1
17,5,5
4,5,1000
3,33,400
4,40,80
21,10,2
5,36,0.01
17,18,3
23,36,1
15,59,28
10,23,35
2,38,4
1,36,3
10,23,1
14,17,14
21,38,3
8,47,1
22,80,300
23,10,140
22,15,1
10,5,2
2,33,320
22,15,0.6
19,33,1
0,30,1
0,7,131
20,36,8
22,23,2
10,13,35
8,38,200
0,13,2
2,22,2
9,35,0.32
7,33,1
20,33,24
4,10,8.35
22,11,2
1,23,1
21,20,55.6
9,18,1
20,43,50000
22,34,1
0,16,3
12,8,0.4
17,8,1.75
4,25,6
18,33,41
14,8,505
14,35,6
3,58,236.4
6,5,2968
21,43,390
8,33,64
8,33,100
20,48,5.75
3,48,5
8,98,3
14,13,4
12,22,4
15,4,1
20,15,3
14,2,4
9,5,4
20,9,4
7,40,195
19,23,5600
16,33,134
19,89,2000
21,37,0.1
13,41,3
6,33,1.2
9,13,80
3,14,3
8,44,865
20,3,250
15,33,50
11,49,30
6,10,2700
9,25,4.15
20,28,2
15,62,16
23,108,20
7,33,4
19,33,3
16,10,3
19,11,11.5
15,4,2000
20,9,5
16,7,2
2,14,5
5,62,3
18,8,1
14,18,245
15,55,2
17,73,2
12,10,5200
6,71,1
12,41,3
15,33,5
21,33,5
17,10,0.5
20,33,812
7,33,5
17,24,5
17,33,4
2,16,5
7,33,5
4,54,5
5,6,1
16,40,1
4,9,3.3
6,82,5
23,21,12
9,5,2000
0,36,1
12,33,1.45
18,24,0.5
11,33,61
13,22,4
0,33,5
2,37,2
2,79,1
12,104,0.5
23,10,1
2,24,800
17,33,5
15,37,1
2,41,1
12,29,2.227
18,15,1
14,14,2
21,19,2200
0,10,50
16,37,2
16,12,6.5
4,11,8
23,215,3
15,33,0.5
14,33,1
17,208,5
20,15,5
21,8,8
5,12,25
17,10,5
6,33,1
23,10,43
13,10,38
9,60,1
23,23,2
3,5,238
20,37,2
22,40,2575
19,33,1
1,38,2
5,5,1
1,33,1
4,46,1
7,99,1
12,7,5
13,28,4000
15,16,80
2,22,1
11,33,2
20,51,22
7,33,60
3,10,2
13,19,1
3,102,0.5
9,12,4.5
14,9,1
21,132,3
17,11,300
17,7,1500
9,5,1
21,34,1
13,30,1
14,21,5
5,33,2
1,19,25
3,54,1
19,11,22
6,41,1
15,70,3
15,37,1
13,10,12
14,10,358
10,8,2
1,5,3
1,33,3
20,17,1
23,51,1
14,69,2
13,18,269
1,10,71
6,19,1
21,30,100
20,13,164
0,33,91
11,12,1
0,19,5600
3,33,5
4,18,1
18,24,3
23,10,1000
23,5,30
19,10,40
13,22,1
9,8,58.35
2,24,1
10,89,700
7,18,1
0,14,103
7,25,3000
9,33,1
2,5,1
4,114,250
18,11,2
2,48,32
0,11,500
3,12,1
6,13,2
17,17,3
18,10,3
15,21,1
4,20,252
3,10,36
0,9,200
11,10,1
14,11,104
11,29,3
10,11,30
19,5,30
9,26,3
9,5,200
17,16,2
1,58,1
17,27,750
1,21,1
4,12,1
18,15,2
8,50,31
12,16,100
16,23,1
11,1,3
15,5,2
2,27,130
0,40,30
13,22,1200
8,14,1
15,10,115
5,28,2103
20,20,1
13,17,1207
8,59,1
22,7,4
2,25,5
12,18,40000
23,14,2
17,23,2000
8,6,1.4
12,19,3
18,18,2.2
0,631,3
9,9,2
19,32,3.7
12,27,170.4
2,33,3
20,22,36896
8,14,25
13,11,750
0,14,2
21,13,3
15,33,3
18,33,4
15,33,200
22,10,80
8,24,2
11,11,506
5,33,3
12,10,2
3,26,330
10,10,1948
21,33,3
6,22,6
23,33,1
9,5,25
7,10,4
22,36,143
19,20,81
9,10,2
1,33,3
1,58,300
11,54,3
3,30,4
8,33,27
12,236,1
19,9,50
7,10,1
15,33,1
4,24,3
6,33,4
13,33,4
5,10,100
18,33,1
22,10,17
11,33,1543
14,33,107
7,10,22.6
18,17,700
13,10,1
14,33,500
19,15,394
6,87,1
9,33,18
10,10,3
0,13,50000
11,10,4200
17,33,8700
16,61,164.8
2,33,0.786
13,62,30
13,10,44
14,22,171
16,10,4948
17,19,1
18,33,1
14,56,220
17,10,60.929
23,33,73.5
22,33,1
23,5,1
16,33,4
2,10,80
15,10,1
3,33,6
21,10,8
13,33,43
8,10,50
2,34,1
4,10,3
17,60,753
3,16,166836
14,10,348.5
0,33,3
18,52,400
21,33,36
20,33,3
9,33,1
17,21,2
21,31,1.714
14,8,3
16,62,1
5,40,55
2,10,300
0,10,11
1,5,500
18,13,70
23,9,1
10,10,632
10,10,3
22,5,1
21,33,40
4,10,1
17,33,2
5,10,2
0,10,2
19,31,7
17,8,200
13,33,1
15,10,75
15,10,3
5,10,1
10,24,3
4,10,1
19,27,90
12,10,1
2,10,30
18,33,1
4,10,1
19,8,40
1,10,4
20,45,1
18,10,3
8,27,1
10,11,40
2,0,926
1,19,2
21,187,1
12,17,400
13,8,1
4,5,1
15,7,1
14,10,40
13,10,1
8,16,28000
9,15,10
11,14,1
4,36,2
2,10,55
18,39,24
8,35,2
5,10,3
0,30,10000
10,5,2
7,11,1
9,10,45
1,10,3
0,10,4
10,10,2
21,225,1
7,44,4
1,7,4
23,22,55
22,13,4
8,34,55
17,39,73
21,30,2
21,5,310
1,10,12500
23,19,3
23,39,1090
4,10,1
7,29,10
15,40,2
5,7,1
18,25,4
3,12,1
0,16,2
6,19,86000
12,16,3
0,33,1
1,19,4
1,9,2500
11,10,2
17,18,285
10,81,2200
1,10,10
19,18,2.43
2,47,1.5
0,29,21.8
21,13,8000
20,25,1
6,23,12000
0,21,1000
2,12,2
22,4,1150
23,17,500
0,35,1
16,12,6500
21,33,1
14,20,39
23,6,4
5,30,220085.456
13,8,3.6
2,6,3000
19,20,2
10,10,1
12,50,22.3
10,16,4
0,28,10.5
3,11,15
18,20,1
22,41,1
10,10,8
